Line 11, col 31: Conflicting types (got double, expected int)
Line 13, col 23: Conflicting types (got double, expected int)
Line 14, col 23: Conflicting types (got double, expected int)
Line 15, col 23: Conflicting types (got double, expected int)
Line 16, col 23: Conflicting types (got double, expected int)
Line 17, col 23: Conflicting types (got double, expected int)
Line 18, col 23: Conflicting types (got double, expected int)
Line 19, col 23: Conflicting types (got double, expected int)
Line 20, col 23: Conflicting types (got double, expected int)
Line 21, col 23: Conflicting types (got double, expected int)
Line 24, col 23: Conflicting types (got double, expected int)
Line 25, col 23: Conflicting types (got double, expected int)
Line 26, col 23: Conflicting types (got double, expected int)
Line 27, col 23: Conflicting types (got double, expected int)
Line 28, col 23: Conflicting types (got double, expected int)
Line 29, col 23: Conflicting types (got double, expected int)
Line 30, col 23: Conflicting types (got double, expected int)
Line 31, col 23: Conflicting types (got double, expected int)
Line 32, col 23: Conflicting types (got double, expected int)
Line 35, col 23: Conflicting types (got double, expected int)
Line 36, col 23: Conflicting types (got double, expected int)
Line 37, col 23: Conflicting types (got double, expected int)
Line 38, col 23: Conflicting types (got double, expected int)
Line 39, col 23: Conflicting types (got double, expected int)
Line 40, col 23: Conflicting types (got double, expected int)
Line 41, col 23: Conflicting types (got double, expected int)
Line 42, col 23: Conflicting types (got double, expected int)
Line 43, col 23: Conflicting types (got double, expected int)
Line 46, col 23: Conflicting types (got double, expected int)
Line 47, col 23: Conflicting types (got double, expected int)
Line 48, col 23: Conflicting types (got double, expected int)
Line 49, col 23: Conflicting types (got double, expected int)
Line 50, col 23: Conflicting types (got double, expected int)
Line 51, col 23: Conflicting types (got double, expected int)
Line 52, col 23: Conflicting types (got double, expected int)
Line 53, col 23: Conflicting types (got double, expected int)
Line 54, col 23: Conflicting types (got double, expected int)
Line 57, col 23: Conflicting types (got double, expected int)
Line 58, col 23: Conflicting types (got double, expected int)
Line 59, col 23: Conflicting types (got double, expected int)
Line 60, col 23: Conflicting types (got double, expected int)
Line 61, col 23: Conflicting types (got double, expected int)
Line 62, col 23: Conflicting types (got double, expected int)
Line 63, col 23: Conflicting types (got double, expected int)
Line 64, col 23: Conflicting types (got double, expected int)
Line 65, col 23: Conflicting types (got double, expected int)
Line 68, col 23: Conflicting types (got double, expected int)
